Title,Detail_Page,Description,Source_website
Africa’s mineral resources are critical for the green energy transition,https://saiia.org.za/research/africas-mineral-resources-are-critical-for-the-green-energy-transition/,,
JUST TRANSITION TO A LOW-CARBON ECONOMY,https://www.stateofthenation.gov.za/priorities/growing-the-economy-and-jobs/just-transition-to-a-low-carbon-economy,,
ENERGY TRANSITION IN AFRICA,https://www.rmb.co.za/news/energy-transition-in-africa,,
THE SAIPPA ENERGY TRANSITION PROGRAMME,https://www.saippa.org.za/energy-transition-programme,,
Eskom’s Just Energy Transition within A South African Just Transition Context,https://www.saippa.org.za/13102021Eskom-JET-Facility-NEDLAC.pdf,,
Mpumalanga women get just energy transition boost,https://www.itweb.co.za/content/G98YdqLGykkMX2PD,,
"Community acceptance challenges of renewable energy transitions: A tale of two solar parks in Limpopo, South Africa",https://journals.assaf.org.za/index.php/jesa/article/view/2540,,
TOWARDS A JUST ENERGY TRANSITION,https://www.iej.org.za/wp-content/uploads/2022/11/IEJ-policybrief-ClimateFinance1.pdf,,
Accelerating renewable energy industrialisation in South Africa: What’s stopping us?,https://meridianeconomics.co.za/wp-content/uploads/2020/07/Accelerating-renewable-energy-industrialisation-in-South-Africa-July2020.pdf,,
Eskom Transformed: Achieving A Just Energy Transition for South Africa,https://aidc.org.za/eskom-transformed-achieving-a-just-energy-transition-for-south-africa/,,
The future of coal truckers in South Africa’s low carbon economy,https://www.wwf.org.za/?39302/The-future-of-coal-truckers-in-South-Africas-low-carbon-economy,,
Eskom Transformed: Achieving A Just Energy Transition for South Africa,https://www.egsa.org.za/actors/eskom/eskom-transformed-achieving-a-just-energy-transition-for-south-africa/,,
"Ramaphosa’s electricity plans ‘significant’, says energy transition expert Mark Swilling",https://www.egsa.org.za/general-news/ramaphosas-electricity-plans-significant-says-energy-transition-expert-mark-swilling/,,
Final Just Energy Transition Partnership Investment Plan expected by November,https://www.egsa.org.za/just-transition/final-just-energy-transition-partnership-investment-plan-expected-by-november/,,
ACCELERATING COAL TRANSITION (ACT) INVESTMENT PLAN FOR SOUTH AFRICA,https://www.dffe.gov.za/sites/default/files/docs/accelleratedcoaltransition.invstmentplan.pdf,,
A just energy transition must have all aboard,https://www.egsa.org.za/just-transition/a-just-energy-transition-must-have-all-aboard/,,
Green Hydrogen Economy free webinar series to boost local capacity and transparency,https://sanedi.org.za/news/October%202022/PR%20-%20Hydrogen%20webinar%20-%20FINAL.pdf,,
Creecy: SA must act on just energy transition or lose out on funding,https://mg.co.za/environment/2023-03-14-creecy-sa-must-act-on-just-energy-transition-or-lose-out-on-funding/,,
"Just energy transition to be job-positive, but youth skills and businesses crucial",https://www.engineeringnews.co.za/article/just-energy-transition-to-be-job-positive-but-youth-skills-and-businesses-crucial-2023-03-17,,
Grant funding also needed for energy transition,https://www.sanews.gov.za/south-africa/grant-funding-also-needed-energy-transition,,
WIND INDUSTRY STANDS TOGETHER IN SUPPORT OF THE JUST ENERGY TRANSITION TRAINING FACILITY IN MPUMALANGA,https://sawea.org.za/wind-industry-stands-together-in-support-of-the-just-energy-transition-training-facility-in-mpumalanga/,,
Taking charge of the Just Transition?,https://www.southafricanlabourbulletin.org.za/wp-content/uploads/2021/12/salb-vol-44-no-3-2.pdf,,
Technical Advisor: Power sector reform and Just Energy Transition under the South African – German Energy Programme (SAGEN),https://www.sapvia.org.za/technical-advisor-power-sector-reform-and-just-energy-transition-under-the-south-african-german-energy-programme-sagen/,,
SA needs R1.5 trillion for Just Energy Transition,https://www.sanews.gov.za/south-africa/sa-needs-r15-trillion-just-energy-transition,,
CITY CALLS ON INDUSTRY PLAYERS TO PARTNER IN INNOVATIVE SOLUTIONS TOWARDS ENERGY SECURITY,https://www.joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/May/City-calls-on-industry-players-to-partner-in-innovative-solutions-towards-energy-security.aspx,,
SAWEA ANNOUNCES CHAIR TO LEAD WIND ENERGY TRANSITION,https://sawea.org.za/sawea-announces-chair-to-lead-wind-energy-transition/,,
Energy Storage Nascent Disruptor for SA boosting Cost of energy and Industrialization,http://www.ilembechamber.co.za/wp-content/uploads/2021/02/2020-03-06-SAESA-Presentation.pdf,,
Coal industry can innovate to contribute to energy transition,https://www.sanews.gov.za/south-africa/coal-industry-can-innovate-contribute-energy-transition,,
#BizTrends2021: Just energy transition will continue to accelerate,https://sawea.org.za/biztrends2021-just-energy-transition-will-continue-to-accelerate/,,
Importance of Renewable Energy in South Africa ,https://alumo.co.za/articles/importance-of-renewable-energy-in-south-africa,,
South African Renewable Energy Masterplan,https://www.green-cape.co.za/assets/SAREM-Draft-March-2022.pdf,,
The energy transition and opportunities for South Africa in cleaner fuels,https://saesa.org.za/wptest/wp-content/uploads/2019/11/2019-09-17-IDC_The-energy-transition-and-opportunities-for-South-Africa-in-cleaner-fuels_SAESA-1.pdf,,
Energy Action Plan,https://www.sanews.gov.za/special-features-archive/energy-action-plan,,
SAOGA Webinar - The Role of Gas in the Just Energy Transition - 14 October 2021,https://www.saoga.org.za/web/news/saoga-webinar-role-gas-just-energy-transition-14-october-2021,,
The South African-German Energy Partnership,https://www.energypartnership.org.za/home/,,
Interest for City’s procurement of power proposal,https://www.durban.gov.za/news/Interest+for+City%E2%80%99s+procurement+of+power+proposal,,
South Africa needs a coherent approach to the energy crisis,https://www.wwf.org.za/?42702/South-Africa-needs-a-coherent-approach-to-the-energy-crisis,,
Shining a light on SA's energy transition,https://www.energize.co.za/article/shining-light-sas-energy-transition,,
JUST ENERGY TRANSITION KICKS OFF WITH SUPPORT FROM MPUMALANGA SCHOOLS AND STAKEHOLDERS,https://sawea.org.za/just-energy-transition-kicks-off-with-support-from-mpumalanga-schools-and-stakeholders/,,
A new dawn for South Africa’s energy sector,https://africa.iclei.org/a-new-dawn-for-south-africas-energy-sector/,,
EThekwini’s Hydrogen Economy Roadmap,https://www.durban.gov.za/news/EThekwini%E2%80%99s+Hydrogen+Economy+Roadmap,,
"Eskom, Saretec collaborate to train renewable energy artisans",https://www.engineeringnews.co.za/article/eskom-saretec-collaborate-to-train-renewable-energy-artisans-2022-08-23,,
South Africa’s just energy transition: A balancing act,https://mg.co.za/thoughtleader/opinion/2021-11-28-south-africas-just-energy-transition-a-balancing-act/,,
Energy specialist Prashaen Reddy has recently been appointed as an equity partner at the leading global management consulting firm Kearney,https://africanpetrochemicals.co.za/energy-specialist-prashaen-reddy-has-recently-been-appointed-as-an-equity-partner-at-the-leading-global-management-consulting-firm-kearney/,,
Just energy transitions – how do we get there?,https://www.sustainable.org.za/resource.php?id=64,,
Unions unhappy about ‘consultation’ process for energy transition plan,https://www.businesslive.co.za/bd/national/2023-02-14-unions-unhappy-about-consultation-process-for-energy-transition-plan/,,
ADDITIONAL RENEWABLE ENERGY DEVELOPMENT ZONES PROPOSED FOR WIND AND SOLAR PV,https://www.csir.co.za/renewable-energy-development-zones,,
The countries offering $8.5 billion for South Africa’s move away from coal want answers,https://businesstech.co.za/news/energy/682143/the-countries-offering-8-5-billion-for-south-africas-move-away-from-coal-want-answers/,,
Energy crisis and climate change must be tackled together,https://www.sanews.gov.za/south-africa/energy-crisis-and-climate-change-must-be-tackled-together,,
BOARD APPOINTMENT TO SUPPORT THE DRIVE OF SUSTAINABLE ENERGY TRANSITION,https://sawea.org.za/board-appointment-to-support-the-drive-of-sustainable-energy-transition/,,
Ramaphosa facing questions from R153-billion energy fund countries over delayed coal power shutdown,https://mybroadband.co.za/news/energy/488565-ramaphosa-facing-questions-from-r153-billion-energy-fund-countries-over-delayed-coal-power-shutdown.html,,
The role of gas in accelerating decarbonisation and the Future of Energy in Africa – Africa Gas Forum,https://www.cbn.co.za/industry-news/petrochemicals-oil-gas/the-role-of-gas-in-accelerating-decarbonisation-and-the-future-of-energy-in-africa-africa-gas-forum/,,
World Bank approves R9 billion concessional loan facility for Komati Power Station repurposing and Just Energy Transition,https://www.eskom.co.za/world-bank-approves-r9-billion-concessional-loan-facility-for-komati-power-station-repurposing-and-just-energy-transition/,,
EXXARO AND SERITI RESOURCES JOIN FORCES WITH ESKOM IN REALISING A JUST ENERGY TRANSITION TO A LOW CARBON FUTURE IN SOUTH AFRICA,https://www.eskom.co.za/exxaro-and-seriti-resources-join-forces-with-eskom-in-realising-a-just-energy-transition-to-a-low-carbon-future-in-south-africa/,,
Govt moves to combat renewable energy skills dearth,https://www.itweb.co.za/content/Olx4z7kaX14q56km,,
"Investors must carry the energy transition torch, regardless of Eskom’s fate",https://www.dailymaverick.co.za/article/2023-02-16-investors-must-carry-the-energy-transition-torch-regardless-of-eskoms-fate/,,
CITY ENGAGES YOUTH ON THE NEED FOR AN ENERGY TRANSITION,https://www.joburg.org.za/media_/Newsroom/Pages/2023%20News%20Articles/March/City-engages-youth-on-the-need-for-an-energy-transition.aspx,,
EThekwini Clarifies Its Position On Alternative Energy,https://www.durban.gov.za/press-statement/EThekwini+Clarifies+Its+Position+On+Alternative+Energy,,
Energy and Urbanisation in South Africa,https://www.cityenergy.org.za/energy-and-urbanisation-in-south-africa-2/,,
A just transition to a renewable energy future in SA,https://www.wwf.org.za/?22101/A-just-transition-to-a-renewable-energy-future-in-SA,,
Life After Coal Campaign responds to release of SA’s Just Energy Transition Investment Plan on 4 November 2022,https://groundwork.org.za/life-after-coal-campaign-responds-to-release-of-sas-just-energy-transition-investment-plan/,,
JUST (ENERGY) TRANSITION EXCHANGE 2017-2021,https://groundwork.org.za/just-energy-transition-exchange-2017-2021/,,
NBI Member and Business Briefing: Unpacking the Just Energy Transition Investment Plan (Jet IP),https://www.nbi.org.za/event/nbi-member-and-business-briefing-unpacking-the-just-energy-transition-investment-plan-jet-ip/,,
Africa’s mineral resources are critical for the green energy transition,https://saiia.org.za/research/africas-mineral-resources-are-critical-for-the-green-energy-transition/,,
GREEN HYDROGEN COMMERCIALISATION STRATEGY FOR SOUTH AFRICA,http://www.thedtic.gov.za/wp-content/uploads/Full-Report-Green-Hydrogen-Commercialisation-Strategy.pdf,,
Power to the people,https://news.mandela.ac.za/News/Power-to-the-people,,
The electricity distribution in Germany and South Africa- A review of policy and regulations,https://www.sagen.org.za/publications/all-publications/79-the-electricity-distribution-in-germany-and-south-africa-a-review-of-policy-and-regulations?highlight=WyJlbmVyZ3kiLCJ0cmFuc2l0aW9uIiwiZW5lcmd5IHRyYW5zaXRpb24iXQ==,,
Climate change and the Just Energy Transition in South Africa,https://www.ijr.org.za/2023/04/05/climate-change-and-the-just-energy-transition-in-south-africa/,,
